Carl August Lebschee	1877  395.0,500.0
Carl Friedrich Heinrich Werner	1849  92.0,135.0
Carl Georg Anton Graeb	1884  397.0,268.0
Carl Spitzweg	1860  346.0,219.0
Carle (Antoine Charles Horace) Vernet	1836  631.0,975.0
Carlo Alberto Baratta	1815  253.0,407.0
Carlo Bianconi	1802  269.0,198.0
Carlo Fantaccini	1750  145.0,145.0
Carlo Ferrario	1869  350.0,485.0
Carlo Maratti	1713  241.0,231.0
Carlo Maratti	1676  149.0,133.0
Carlo Maratti	1708  302.0,211.0
Carnig Eksergian	1914  1022.0,768.0
Caroline Cranch	1881  765.0,505.0
Caspar David Friedrich	1811  616.0,990.0
Catherine D. Wentworth	1950  557.0,305.0
Catherine Wiley	1914  921.0,864.0
Caughley Factory	1785 21.3 
Cavaliere d'Arpino (Giuseppe Cesari)	1595  250.0,159.0
Cecilia Beaux	1914  1822.0,1102.0
Cecilia Beaux	1894  1283.0,968.0
Cecilia Beaux	1898  1830.0,1013.0
Cephas Giovanni Thompson	1838  914.0,730.0
Cephas Thompson	1820  1219.0,800.0
Chakalte'	800  889.0,876.0
Chantilly	1745  
Chantilly	1740 .3
Chantilly	1740 16.5 
Charles Antoine Coypel	1752  248.0,322.0
Charles Antoine Coypel	1721  132.0,376.0
Charles Balthazar Julien Févret de Saint-Mémin	1809  549.0,425.0
Charles Balthazar Julien Févret de Saint-Mémin	1811  594.0,445.0
Charles Balthazar Julien Févret de Saint-Mémin	1801  546.0,384.0
Charles Balthazar Julien Févret de Saint-Mémin	1798  435.0,340.0
Charles Balthazar Julien Févret de Saint-Mémin	1800  541.0,381.0
Charles Bentley	1851  152.0,222.0
Charles Bianchini	1897  312.0,238.0
Charles C. Hofmann	1876  730.0,987.0
Charles Caleb Ward	1871  257.0,203.0
Charles Caryl Coleman	1889  1584.0,889.0
Charles Courtney Curran	1922  762.0,762.0
Charles Courtney Curran	1887  457.0,813.0
Charles Cromwell Ingham	1830  1724.0,1353.0
Charles Cromwell Ingham	1830  730.0,603.0
Charles Cromwell Ingham	1846  914.0,721.0
Charles Frederick Ulrich	1886  664.0,537.0
Charles Grafly	1896  711.0,305.0
Charles Harold Davis	1908  737.0,927.0
Charles Hopkinson	1933  1143.0,1072.0
Charles Hoyau	1635 126.4 
Charles Lepec	1887  232.0,117.0
Charles Loring Elliott	1854  918.0,743.0
Charles Loring Elliott	1857  610.0,508.0
Charles Loring Elliott	1852  845.0,635.0
Charles Loring Elliott	1850  765.0,622.0
Charles Loring Elliott	1859  1118.0,956.0
Charles Loring Elliott	1850  686.0,559.0
Charles Melville Dewey	1912  933.0,1330.0
Charles Meynier	1802  460.0,332.0
Charles Noel Flagg	1890  1022.0,822.0
Charles Peale Polk	1787  584.0,489.0
Charles Peale Polk	1790  552.0,454.0
Charles Percier	1813  458.0,804.0
Charles Percier	1813  424.0,670.0
Charles R. Knight	1953  371.0,378.0
Charles Robert Leslie	1840  470.0,965.0
Charles Robert Leslie	1859  394.0,292.0
Charles Salis Kaelin	1929  359.0,432.0
Charles Samuel Keene	1891  165.0,113.0
Charles Samuel Keene	1876  113.0,181.0
Charles Samuel Keene	1891  141.0,189.0
Charles Samuel Keene	1891  113.0,181.0
Charles Samuel Keene	1872  257.0,197.0
Charles Samuel Keene	1891  125.0,178.0
Charles Samuel Keene	1876  114.0,191.0
Charles Samuel Keene	1891  135.0,183.0
Charles Samuel Keene	1891  113.0,178.0
Charles Samuel Keene	1884  158.0,207.0
Charles Schreyvogel	1899  640.0,864.0
Charles Schreyvogel	1910  867.0,629.0
Charles Sidney Raleigh	1893  603.0,408.0
Charles Sprague Pearce	1882  1168.0,899.0
Charles Webster Hawthorne	1910  1016.0,1016.0
Charles Wesley Jarvis	1850  762.0,635.0
Charles Willson Peale	1780  1264.0,1010.0
Charles Willson Peale	1782  1257.0,1010.0
Charles Willson Peale	1789  921.0,694.0
Charles Willson Peale	1781  2413.0,1568.0
Charles Willson Peale	1771  787.0,622.0
Charles Willson Peale	1780  1270.0,1018.0
Charles Willson Peale	1775  248.0,200.0
Charles de la Fosse	1716  367.0,265.0
Charles-Emmanuel Serret	1900  204.0,340.0
Charles-François Houel	1846  270.0,371.0
Charlotte Brown	1824  546.0,635.0
Charlotte Buell Coman	1907  689.0,921.0
Chauncey F. Ryder	1921  1146.0,1480.0
Chelsea Porcelain Manufactory	1760 25.4 
Chelsea Porcelain Manufactory	1760 20.3 
Chelsea Porcelain Manufactory	1755 20.3 
Chen Chun	1540  
Chen Hongshou	1619  
Chen Hongshou	1622  222.0,92.0
Chen Xian	1634  257.0,302.0
Chester (Charles) Harding	1844  762.0,635.0
Chester (Charles) Harding	1828  914.0,711.0
Chester (Charles) Harding	1827  921.0,711.0
Chester (Charles) Harding	1835  762.0,635.0
Chief Cheritepitsj	2000 161.3 
Chief Cheritepitsj	2000  318.0,2388.0
Chief Chinasapitch	2000  864.0,673.0
Chief Epue	2000  2388.0,330.0
Chief Nesep	2000  114.0,2819.0
Chief Omas	2000 57.8 
Chief On	2000 141 
Chief Tiripi	2000  178.0,622.0
Chief Tiripi	2000 141 
Chief Wafrubo	2000  1816.0,553.0
Childe Hassam	1890  464.0,457.0
Childe Hassam	1909  610.0,914.0
Childe Hassam	1890  451.0,546.0
Childe Hassam	1913  895.0,718.0
Childe Hassam	1925  356.0,432.0
Childe Hassam	1918  914.0,721.0
Childe Hassam	1902  660.0,559.0
Childe Hassam	1918  762.0,635.0
Childe Hassam	1901  632.0,765.0
Childe Hassam	1883  430.0,656.0
Childe Hassam	1908  764.0,1026.0
