A&E Design Hans Ehrich Tom Ahlström	1993  870.0,370.0
Aleksei Kruchenykh	1916  212.0,290.0
Aleksei Kruchenykh	1916  210.0,288.0
Aleksei Kruchenykh	1916  217.0,170.0
Aleksei Kruchenykh	1916  210.0,300.0
Aleksei Kruchenykh	1916  207.0,290.0
Aleksei Kruchenykh	1916  208.0,290.0
Aleksei Kruchenykh	1916  210.0,293.0
Aleksei Kruchenykh	1916  209.0,270.0
Aleksei Kruchenykh	1916  209.0,290.0
Aleksei Kruchenykh	1916  220.0,265.0
Aleksei Kruchenykh	1916  215.0,280.0
Aleksei Kruchenykh	1916  214.0,280.0
Aleksei Kruchenykh	1916  211.0,282.0
Aleksei Kruchenykh	1916  221.0,163.0
Aleksei Kruchenykh	1916  214.0,275.0
Aleksei Kruchenykh Aleksandr Labas	1921  176.0,132.0
Aleksei Kruchenykh Ivan Kliun Igor' Terent'ev	1928  167.0,203.0
Aleksei Kruchenykh Kirill Zdanevich	1917  236.0,185.0
Aleksei Kruchenykh Kirill Zdanevich	1917  235.0,181.0
Aleksei Kruchenykh Mikhail Larionov	1919  163.0,108.0
Aleksei Kruchenykh Unknown Artist	1921  176.0,132.0
Aleksei Levin	1940  195.0,126.0
Aleksei Levin	1940  165.0,105.0
Aleksei Remizov	1922  239.0,318.0
Alena Kučerová	1967  536.0,755.0
Alena Kučerová	1967  580.0,877.0
Alex Dodge	2003  613.0,457.0
Alex Flett	2000  593.0,420.0
Alex Gama	1997  622.0,664.0
Alex Hay	1973  303.0,226.0
Alex Katz	1978  360.0,483.0
Alex Katz	1971  563.0,725.0
Alex Katz	2005  305.0,229.0
Alex Katz	2005  307.0,228.0
Alex Katz	2005  305.0,228.0
Alex Katz	2005  313.0,235.0
Alex Katz	2005  306.0,229.0
Alex Katz	1974  712.0,910.0
Alex Katz	2011  380.0,367.0
Alex Katz	1984 a45.5 ) 
Alex Katz	1968  216.0,279.0
Alex Katz	2013  388.0,376.0
Alex Katz	2013  380.0,365.0
Alex Katz	2005  306.0,230.0
Alex Katz	1983  1473.0,737.0
Alex Katz	2005  307.0,229.0
Alex Katz	1967  305.0,456.0
Alex Katz	1985  450.0,616.0
Alex Katz	1979  1016.0,716.0
Alex Katz	1965  1169.0,889.0
Alex Katz	1968  500.0,627.0
Alex Katz	1972  376.0,530.0
Alex Katz	2011  388.0,375.0
Alex Katz	1967  278.0,354.0
Alex Katz	1972  923.0,648.0
Alexander Brodsky Ilya Utkin	1988  1073.0,782.0
Alexander Brodsky Ilya Utkin	1984  1080.0,780.0
Alexander Brodsky Ilya Utkin	1984  780.0,1080.0
Alexander Brodsky Ilya Utkin	1987  1077.0,680.0
Alexander Brodsky Ilya Utkin	1987  1078.0,780.0
Alexander Brodsky Ilya Utkin	1987  1078.0,779.0
Alexander Brook	1931  530.0,403.0
Alexander Brook	1935  405.0,294.0
Alexander Calder	1968  119.0,1497.0
Alexander Calder	1969  748.0,1095.0
Alexander Calder	1935 a475.3 ) 
Alexander Calder	1936  197.0,38.0
Alexander Calder	1955  318.0,233.0
Alexander Calder	1946  500.0,400.0
Alexander Calder	1930  49.0,28.0
Alexander Calder	1926  52.0,150.0
Alexander Calder	1965  476.0,651.0
Alexander Calder	1965  557.0,810.0
Alexander Calder	1963  479.0,648.0
Alexander Calder	1963  467.0,567.0
Alexander Calder	1961  503.0,664.0
Alexander Calder	1959 a12.6 ) 
Alexander Calder	1946  502.0,400.0
Alexander Calder	1946  502.0,399.0
Alexander Calder	1961  498.0,657.0
Alexander Calder	1976  752.0,541.0
Alexander Calder	1939 a290 ) 
Alexander Calder	1960  743.0,897.0
Alexander Calder	1946  490.0,399.0
Alexander Calder	1942  355.0,455.0
Alexander Calder	1946  399.0,502.0
Alexander Calder	1971  658.0,498.0
Alexander Calder	1935  319.0,248.0
Alexander Calder	1942  380.0,486.0
Alexander Calder	1969  1097.0,754.0
Alexander Calder	1947  240.0,203.0
Alexander Calder	1967  380.0,282.0
Alexander Calder	1948 a208.8 ) 
Alexander Calder	1967  390.0,298.0
Alexander Calder	1967  380.0,284.0
Alexander Calder	1967  379.0,285.0
Alexander Calder	1967  285.0,380.0
Alexander Calder	1967  377.0,281.0
Alexander Calder	1945 a127 ) 
Alexander Calder	1931  249.0,184.0
Alexander Calder	1945 a915 ) 
Alexander Calder	1955  324.0,238.0
Alexander Calder	1944  288.0,235.0
Alexander Calder	1944  290.0,405.0
Alexander Calder	1941 a86.3 ) 
